"Person_ID","Crash_Date","Crash_Location","Victim","Crash_Circumstances","Longitude","Latitude","Location"
"O2172827","10/19/2025 02:13:00 AM","6639 S ASHLAND AVE","PEDESTRIAN","DRIVER TRAVELING AT A HIGH RATE OF SPEED STRUCK PEDESTRIAN CROSSING MIDBLOCK.","-87.66389389","41.77285005","POINT (-87.66389389 41.77285005)"
"P479186","10/17/2025 09:30:00 PM","7500 S VINCENNES AVE","PASSENGER","UNIT 2, TRAVELING AT A HIGH RATE OF SPEED, WAS STRUCK BY LEFT-TURNING UNIT 1. TWO UNIT 2 PASSENGERS DIED.","-87.63152475","41.75814553","POINT (-87.63152475 41.75814553)"
"P479183","10/17/2025 09:30:00 PM","7500 S VINCENNES AVE","PASSENGER","UNIT 2, TRAVELING AT A HIGH RATE OF SPEED, WAS STRUCK BY LEFT-TURNING UNIT 1. TWO UNIT 2 PASSENGERS DIED.","-87.63152475","41.75814553","POINT (-87.63152475 41.75814553)"
"O2177425","10/14/2025 11:26:00 PM","2803 W VAN BUREN ST","DRIVER","DRIVER DISREGARDED TRAFFIC SIGNAL AND STRUCK A TREE IN A STOLEN VEHICLE.","-87.6962894","41.87586902","POINT (-87.6962894 41.87586902)"
"O2161868","10/01/2025 05:18:00 PM","6201 N TALMAN AVE","PEDESTRIAN","DRIVER STRUCK PEDESTRIAN IN ROADWAY.","-87.69572022","41.99411414","POINT (-87.69572022 41.99411414)"
"O2154248","09/20/2025 01:55:00 AM","2631 W WARREN BLVD","DRIVER","UNIT 1 DISREGARDED STOP SIGN AND REAR ENDED UNIT 2 AT A HIGH RATE OF SPEED CAUSING UNIT 2 TO STRIKE A UTILITY POLE. UNIT 2 DRIVER  DIED.","-87.69217384","41.88192029","POINT (-87.69217384 41.88192029)"
"O2153045","09/18/2025 07:37:00 AM","4848 W WALTON ST","PEDESTRIAN","DRIVER STRUCK PEDESTRIAN CROSSING MIDBLOCK.","-87.74781679","41.89783775","POINT (-87.74781679 41.89783775)"
"O2154725","09/16/2025 08:33:00 PM","4600 N LAKE SHORE DR SB","DRIVER","UNIT 1 CROSSED THE MEDIAN AND STRUCK UNIT 2 HEAD ON. UNIT 1 DRIVER DIED.","-87.64747666","41.96571849","POINT (-87.64747666 41.96571849)"
"O2157734","09/15/2025 07:54:00 PM","8211 S COTTAGE GROVE AVE","PEDESTRIAN","DRIVER UNDER THE INFLUENCE STRUCK PEDESTRIAN CROSSING MIDBLOCK AT A HIGH RATE OF SPEED.","-87.60492672","41.74542534","POINT (-87.60492672 41.74542534)"
"O2149500","09/12/2025 01:55:00 PM","901 S SACRAMENTO BLVD","DRIVER","LEFT-TURNING UNIT 1 STRUCK UNIT 2. UNIT 2 DRIVER DIED.","-87.7007502","41.87005438","POINT (-87.7007502 41.87005438)"
"O2148195","09/11/2025 04:55:00 AM","540 N MICHIGAN AVE","DRIVER","UNIT 1, FLEEING PRIOR INCIDENT, DISREGARDED TRAFFIC SIGNAL AND STRUCK UNIT 2 AT A HIGH RATE OF SPEED. UNIT 2 DRIVER DIED.","-87.62431278","41.89214078","POINT (-87.62431278 41.89214078)"
"P473673","09/07/2025 05:30:00 AM","1100 W CONGRESS PKWY","PASSENGER","DRIVER STRUCK CONCRETE BARRIER. PASSENGER DIED.","-87.65457446","41.87544797","POINT (-87.65457446 41.87544797)"
